file_name,transcript,gender
Neverice_uk_0031.wav,"Водночас у тексті є багато думок, на які хочеться відреагувати позитивно. 
",m
Neverice_uk_0032.wav,"Тяжкою працею, з допомогою щоразу більшої групи прихильників своїх ідей і вірних духовний лідер розвинув структуру Церкви, яка зросла до митрополії. 
",m
Neverice_uk_0033.wav,"Досі не бралася за цю тему, вважаючи, що це зробить хтось інший, бо родинною історією не зай­малася. 
",m
Neverice_uk_0034.wav,"На початку його каденції ці рішення не були популярними, але згодом з’ясувалося, що єпископ мав рацію. 
",m
Neverice_uk_0035.wav,"Розподіл української єпархії між галичанами, які називали себе українцями, та закарпатцями, котрим більше подобався термін «русини», мав бути тимчасовим. 
",m
Neverice_uk_0036.wav,"Присвятивши це самобутнє та направду дуже притягальне дослідження пам’яті свого батька Романа Гайди, керівник галереї «Равлик» під час офіційної презентації видання. 
",m
Neverice_uk_0037.wav,"Цікаво також те, що це дослідження є тільки частиною широкомасштабного проекту маленького «Равлика» щодо збереження, популяризації та відновлення архітектурно-культурної спадщини міста. 
",m
Neverice_uk_0038.wav,"І тільки тоді шлях простелився до ідеї видати книгу. 
",m
Neverice_uk_0039.wav,"Скажімо, чи знали ми, що найбільший львівський лев, заввишки майже чотири метри, розміщений біля Сихівського кладовища? 
",m
Neverice_uk_0040.wav,"Книгою книг, виданих цьогоріч, є архітектурно-культурологічне дослідження «Леви Львова», яке побачило світ завдяки ініціативі та зусиллям галереї «Равлик». 
",m
Anna_uk_0005.wav,"Людям не те що позакладало вуха – людям позакладало душі.. 
",f
Anna_uk_0006.wav,"жах не в тому, що щось змінеться, - жах у тому, що все може залишитися так само.. 
",f
Anna_uk_0007.wav,"Що сталося один раз ніколи не повториться, а що сталося двічі обов'язково повториться . 
",f
Anna_uk_0008.wav,"Чимало аналогічних закидів пролунало й на згаданому обговоренні. 
",f
Anna_uk_0009.wav,"І запропонував завершити дискусію про цей твір як літературний роман та розглядати його як соціальний памфлет і говорити не про те. 
",f
Anna_uk_0010.wav,"Вона починає фіксувати, на свій смак і розсуд, вести щоденник, давати свою оцінку подій, щось додавати, щось відкидати. 
",f
Anna_uk_0011.wav,"Пізнавальними й цікавими також є умовні тематичні цикли. 
",f
Anna_uk_0012.wav,"Взагалі мені здається, все наше життя - це чекання найгіршого і надія на краще. 
",f
Anna_uk_0013.wav,"Холодний протяг неіснуючих днів висвистує все із пам'яті. 
",f
Anna_uk_0014.wav,"Я переконана, що в Українi все ж iнша ситуацiя. Так, я знаю, що у вас теж не все так просто з полiтикою. 
",f
Darrr_uk_0045.wav,"Щодо ракових недуг, то необхідно дотримуватися суворої дієти. 
",f
